shooterRpm,hoodCommandAngleDeg,measuredBallOutputAngleDeg,measuredBallExitSpeedMps
2200,0,61.76084,7.75251
2100,4,64.39473,7.67818
2275,10,51.92315,8.34914
2000,0,21.43696239,8.386831662
2000,3,25.65048128,8.157349675
2000,6,30.28186077,8.320544528
2000,9,36.83914053,8.216316574
2000,12,37.78568631,8.44
2000,15,43.81002195,8.512784579
2000,21,53.53907826,9.070581023
2500,0,16.34838227,10.7
2500,3,23.03998594,10.8
2500,6,28.00322492,10.5
2500,9,33.90905113,10.6
2500,12,36.45589969,9.5
2500,15,43.36534938,10.9
2500,18,47.1716445,10.5
3000,0,21.6279541,11.78035537
3000,3,23.92780808,12.2341924
3000,6,26.83535298,15.07704236
3000,9,33.33267421,12.32664494
3000,12,36.935056,13.0056287
3000,18,47.84371449,12.88459
3000,21,52.3625618,11.05858411
4000,0,18.13197469,14.28567
4000,3,17.5629528,14.4
4000,6,26.4867526,14.8
4000,9,28.71328594,15.2
4000,12,31.772644,14.9
4000,15,33.08627407,14.94046365
4000,18,37.35036784,14.45073736
4000,21,44.36468393,15.89842
